Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-01-13 11:58:36,"Ben/Rygg",9m,"Deadlift (Barbell)",1,20.0,10,0,0,"","",
2024-01-13 11:58:36,"Ben/Rygg",9m,"Deadlift (Barbell)",2,50.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Deadlift (Barbell)",3,60.0,5,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Deadlift (Barbell)",4,60.0,5,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Deadlift (Barbell)",5,60.0,5,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Squat (Barbell)",1,0.0,10,0,0,"",,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Squat (Barbell)",2,30.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Squat (Barbell)",3,30.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Squat (Barbell)",4,30.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Squat (Barbell)",5,30.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Bulgarian Split Squat",1,14.0,10,0,0,"",,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Bulgarian Split Squat",2,14.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Bulgarian Split Squat",3,14.0,10,0,0,,,
2024-01-13 11:58:36,"Ben/Rygg",9m,"Bulgarian Split Squat",4,14.0,10,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Deadlift (Barbell)",1,20.0,10,0,0,"","",
2024-01-15 14:49:57,"Afternoon Workout",1h,"Deadlift (Barbell)",2,50.0,5,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Deadlift (Barbell)",3,60.0,5,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Deadlift (Barbell)",4,62.5,5,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Deadlift (Barbell)",5,62.5,4,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Squat (Barbell)",1,0.0,10,0,0,"",,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Squat (Barbell)",2,30.0,8,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Squat (Barbell)",3,30.0,8,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Squat (Barbell)",4,30.0,8,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Squat (Barbell)",5,30.0,8,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Bulgarian Split Squat",1,14.0,10,0,0,"",,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Bulgarian Split Squat",2,14.0,12,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Bulgarian Split Squat",3,14.0,12,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Bulgarian Split Squat",4,14.0,12,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Hip Thrust (Barbell)",1,20.0,10,0,0,"",,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Hip Thrust (Barbell)",2,30.0,10,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Hip Thrust (Barbell)",3,30.0,10,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Hip Thrust (Barbell)",4,30.0,10,0,0,,,
2024-01-15 14:49:57,"Afternoon Workout",1h,"Stairclimber",1,0,0,20.0,320,"",,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",1,20.0,8,0,0,"","",
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",2,60.0,5,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",3,100.0,3,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",4,140.0,1,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",5,155.0,1,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",6,170.0,1,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",7,152.5,4,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Squat (Barbell)",8,152.5,4,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",1,20.0,10,0,0,"",,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",2,60.0,5,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",3,80.0,3,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",4,92.5,8,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",5,92.5,8,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Bench Press (Barbell)",6,92.5,8,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Romanian Deadlift (Barbell)",1,20.0,8,0,0,"",,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Romanian Deadlift (Barbell)",2,60.0,5,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Romanian Deadlift (Barbell)",3,97.5,10,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Romanian Deadlift (Barbell)",4,97.5,10,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Seated Row (Machine)",1,20.0,5,0,0,"",,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Seated Row (Machine)",2,52.5,10,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Seated Row (Machine)",3,52.5,10,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Seated Row (Machine)",4,52.5,8,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Seated Row (Machine)",5,52.5,8,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Lateral Raise (Dumbbell)",1,4.0,20,0,0,"",,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Lateral Raise (Dumbbell)",2,4.0,20,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Lateral Raise (Dumbbell)",3,4.0,20,0,0,,,
2024-01-15 17:00:50,"Afternoon Workout",4m,"Lateral Raise (Dumbbell)",4,4.0,20,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Stairclimber",1,0,0,20.0,320,"","",
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",1,20.0,10,0,0,"",,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",2,27.5,5,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",3,30.0,5,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",4,32.5,4,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",5,32.5,4,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Bench Press (Barbell)",6,32.5,3,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Lat Pulldown (Cable)",1,16.5,10,0,0,"",,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Lat Pulldown (Cable)",2,16.5,10,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Lat Pulldown (Cable)",3,16.5,10,0,0,,,
2024-01-17 15:04:08,"Överkropp",1h 2m,"Lat Pulldown (Cable)",4,16.5,10,0,0,,,
